code,description,manufacturer,car_type,category,common_cause,fix_tip
P0010,A Camshaft Position Actuator Circuit/Open Bank 1,Toyota,Toyota All Models,Electrical,VVT solenoid wiring or connector fault,Check VVT solenoid connector and wiring harness
P0011,A Camshaft Position Timing Over-Advanced Bank 1,Toyota,Toyota All Models,Mechanical,VVT solenoid stuck or low oil pressure,Clean VVT solenoid screen
P0012,A Camshaft Position Timing Over-Retarded Bank 1,Toyota,Toyota All Models,Mechanical,VVT solenoid clogged or timing chain stretched,Clean VVT system
P0013,B Camshaft Position Actuator Circuit/Open Bank 1,Toyota,Toyota All Models,Electrical,VVT solenoid B wiring fault,Check VVT solenoid B connector and wiring
P0014,B Camshaft Position Timing Over-Advanced Bank 1,Toyota,Toyota All Models,Mechanical,VVT solenoid B stuck or oil flow issue,Clean or replace VVT solenoid B
P0015,B Camshaft Position Timing Over-Retarded Bank 1,Toyota,Toyota All Models,Mechanical,VVT oil control valve fault,Check oil passages to VVT system
P0016,Crankshaft/Camshaft Position Correlation Bank 1,Toyota,Toyota All Models,Mechanical,Timing chain/belt jumped or sensor misaligned,Verify timing marks
P0017,Crankshaft/Camshaft Position Correlation Bank 1 Sensor B,Toyota,Toyota All Models,Mechanical,Exhaust VVT timing off or sensor fault,Check exhaust VVT system and CMP sensor
P0018,Crankshaft/Camshaft Position Correlation Bank 2,Toyota,Toyota V6/V8 Models,Mechanical,Timing issue on bank 2,Inspect bank 2 timing components
P0019,Crankshaft/Camshaft Position Correlation Bank 2 Sensor B,Toyota,Toyota V6/V8 Models,Mechanical,Exhaust VVT bank 2 timing fault,Check bank 2 exhaust VVT system
P0020,A Camshaft Position Actuator Circuit Bank 2,Toyota,Toyota V6/V8 Models,Electrical,VVT solenoid bank 2 wiring fault,Check bank 2 VVT solenoid wiring
P0021,A Camshaft Timing Over-Advanced Bank 2,Toyota,Toyota V6/V8 Models,Mechanical,VVT bank 2 solenoid stuck,Clean bank 2 VVT solenoid
P0022,A Camshaft Timing Over-Retarded Bank 2,Toyota,Toyota V6/V8 Models,Mechanical,VVT bank 2 oil control issue,Check oil pressure to bank 2 VVT
P0030,HO2S Heater Control Circuit Bank 1 Sensor 1,Toyota,Toyota All Models,Electrical,Upstream O2 sensor heater circuit fault,Replace upstream oxygen sensor
P0031,HO2S Heater Control Circuit Low Bank 1 Sensor 1,Toyota,Toyota All Models,Electrical,O2 heater wiring short to ground,Check O2 sensor heater wiring for shorts
P0032,HO2S Heater Control Circuit High Bank 1 Sensor 1,Toyota,Toyota All Models,Electrical,O2 heater wiring short to battery,Check O2 sensor heater wiring for power short
P0033,Turbocharger Bypass Valve Control Circuit,Toyota,Toyota Turbo Models,Electrical,Turbo bypass solenoid wiring fault,Check turbo bypass valve wiring
P0034,Turbocharger Bypass Valve Control Circuit Low,Toyota,Toyota Turbo Models,Electrical,Bypass solenoid circuit short to ground,Check bypass valve wiring harness
P0035,Turbocharger Bypass Valve Control Circuit High,Toyota,Toyota Turbo Models,Electrical,Bypass solenoid circuit short to battery,Check bypass valve wiring for power short
P0036,HO2S Heater Control Circuit Bank 1 Sensor 2,Toyota,Toyota All Models,Electrical,Downstream O2 sensor heater fault,Replace downstream oxygen sensor
P0037,HO2S Heater Control Circuit Low Bank 1 Sensor 2,Toyota,Toyota All Models,Electrical,Downstream O2 heater wiring short,Check downstream O2 wiring
P0038,HO2S Heater Control Circuit High Bank 1 Sensor 2,Toyota,Toyota All Models,Electrical,Downstream O2 heater wiring open/short,Check downstream O2 wiring harness
P0045,Turbo/Super Charger Boost Control Solenoid Circuit,Toyota,Toyota Hilux/Land Cruiser Turbo,Electrical,Boost control solenoid wiring fault,Check boost solenoid connector and wiring
P0046,Turbo Boost Control Solenoid Range/Performance,Toyota,Toyota Hilux/Land Cruiser Turbo,Mechanical,Boost solenoid stuck or vacuum leak,Test boost solenoid operation
P0047,Turbo Boost Control Solenoid Circuit Low,Toyota,Toyota Hilux/Land Cruiser Turbo,Electrical,Boost solenoid wiring short to ground,Check boost solenoid wiring
P0048,Turbo Boost Control Solenoid Circuit High,Toyota,Toyota Hilux/Land Cruiser Turbo,Electrical,Boost solenoid wiring short to battery,Check boost solenoid wiring for power short
P0050,HO2S Heater Control Circuit Bank 2 Sensor 1,Toyota,Toyota V6/V8 Models,Electrical,Bank 2 upstream O2 heater fault,Replace bank 2 upstream O2 sensor
P0051,HO2S Heater Control Circuit Low Bank 2 Sensor 1,Toyota,Toyota V6/V8 Models,Electrical,Bank 2 O2 heater wiring short,Check bank 2 O2 sensor wiring
P0052,HO2S Heater Control Circuit High Bank 2 Sensor 1,Toyota,Toyota V6/V8 Models,Electrical,Bank 2 O2 heater wiring open/short,Check bank 2 O2 sensor wiring
P0053,HO2S Heater Resistance Bank 1 Sensor 1,Toyota,Toyota All Models,Electrical,O2 sensor heater resistance out of range,Replace upstream O2 sensor
P0054,HO2S Heater Resistance Bank 1 Sensor 2,Toyota,Toyota All Models,Electrical,Downstream O2 heater resistance fault,Replace downstream O2 sensor
P0056,HO2S Heater Control Circuit Bank 2 Sensor 2,Toyota,Toyota V6/V8 Models,Electrical,Bank 2 downstream O2 heater fault,Replace bank 2 downstream O2 sensor
P0057,HO2S Heater Control Circuit Low Bank 2 Sensor 2,Toyota,Toyota V6/V8 Models,Electrical,Bank 2 downstream O2 wiring short,Check bank 2 downstream O2 wiring
P0058,HO2S Heater Control Circuit High Bank 2 Sensor 2,Toyota,Toyota V6/V8 Models,Electrical,Bank 2 downstream O2 wiring open,Check bank 2 downstream O2 wiring
P0068,MAP/MAF Throttle Position Correlation,Toyota,Toyota All Models,Mechanical,Vacuum leak or throttle body dirty,Check for vacuum leaks
P0069,Manifold Absolute Pressure Barometric Pressure Correlation,Toyota,Toyota All Models,Electrical,MAP sensor fault or wiring issue,Test MAP sensor voltage
P0070,Ambient Air Temperature Sensor Circuit,Toyota,Toyota All Models,Electrical,AAT sensor wiring fault,Check AAT sensor connector and wiring
P0071,Ambient Air Temperature Sensor Range/Performance,Toyota,Toyota All Models,Electrical,AAT sensor out of range,Replace ambient air temperature sensor
P0072,Ambient Air Temperature Sensor Circuit Low,Toyota,Toyota All Models,Electrical,AAT sensor wiring short to ground,Check AAT sensor wiring for shorts
P0073,Ambient Air Temperature Sensor Circuit High,Toyota,Toyota All Models,Electrical,AAT sensor wiring open or short to battery,Check AAT sensor wiring harness
P0074,Ambient Air Temperature Sensor Intermittent,Toyota,Toyota All Models,Electrical,AAT sensor loose connection,Secure AAT sensor connector
