code,description,car_type,category,common_cause,fix_tip
P0101,MAF Sensor Range/Performance,Hyundai Accent/Atos,Electrical,Dirty MAF or vacuum leak,Clean MAF with electronics cleaner,check hoses
P0102,MAF Circuit Low Input,Hyundai Accent/Atos,Electrical,MAF wiring damaged or unplugged,Check connector and wiring harness
P0103,MAF Circuit High Input,Hyundai Accent/Atos,Electrical,MAF sensor shorted or faulty,Test MAF voltage with multimeter
P0117,ECT Sensor Circuit Low,Hyundai Accent/Atos,Electrical,ECT sensor shorted or wiring issue,Replace ECT sensor,check wiring
P0118,ECT Sensor Circuit High,Hyundai Accent/Atos,Electrical,ECT sensor open circuit,Replace ECT sensor
P0122,TPS Circuit Low Input,Hyundai Accent/Atos,Electrical,TPS wiring short to ground,Check TPS connector and wiring
P0123,TPS Circuit High Input,Hyundai Accent/Atos,Electrical,TPS wiring open or short to battery,Replace TPS sensor
P0131,O2 Sensor Low Voltage B1S1,Hyundai Accent/Atos,Electrical,Fuel lean or O2 sensor faulty,Check for vacuum leaks,test O2 sensor
P0132,O2 Sensor High Voltage B1S1,Hyundai Accent/Atos,Electrical,Fuel rich or O2 sensor faulty,Check fuel pressure,O2 sensor
P0133,O2 Sensor Slow Response B1S1,Hyundai Accent/Atos,Electrical,Aged O2 sensor or exhaust leak,Replace upstream O2 sensor
P0171,System Too Lean Bank 1,Hyundai Accent/Atos,Mechanical,Vacuum leak or weak fuel pump,Smoke test for leaks,check fuel pressure
P0172,System Too Rich Bank 1,Hyundai Accent/Atos,Mechanical,Clogged air filter or faulty MAF,Replace air filter,clean MAF
P0201,Injector Circuit Cylinder 1,Hyundai Accent/Atos,Electrical,Injector wiring or connector issue,Check injector connector,resistance
P0202,Injector Circuit Cylinder 2,Hyundai Accent/Atos,Electrical,Injector wiring or connector issue,Check injector connector,resistance
P0203,Injector Circuit Cylinder 3,Hyundai Accent/Atos,Electrical,Injector wiring or connector issue,Check injector connector,resistance
P0204,Injector Circuit Cylinder 4,Hyundai Accent/Atos,Electrical,Injector wiring or connector issue,Check injector connector,resistance
P0300,Random/Multiple Cylinder Misfire,Hyundai Accent/Atos,Mechanical,Spark plugs,coils,vacuum leak,Replace plugs,check coils,smoke test
P0301,Cylinder 1 Misfire,Hyundai Accent/Atos,Mechanical,Faulty spark plug or coil cylinder 1,Swap coil to test,replace plug
P0302,Cylinder 2 Misfire,Hyundai Accent/Atos,Mechanical,Faulty spark plug or coil cylinder 2,Swap coil to test,replace plug
P0303,Cylinder 3 Misfire,Hyundai Accent/Atos,Mechanical,Faulty spark plug or coil cylinder 3,Swap coil to test,replace plug
P0304,Cylinder 4 Misfire,Hyundai Accent/Atos,Mechanical,Faulty spark plug or coil cylinder 4,Swap coil to test,replace plug
P0325,Knock Sensor Circuit,Hyundai Accent/Atos,Electrical,Knock sensor faulty or wiring,Replace knock sensor,check wiring
P0335,Crankshaft Position Sensor,Hyundai Accent/Atos,Electrical,CKP sensor faulty or damaged reluctor,Replace CKP sensor,inspect wheel
P0340,Camshaft Position Sensor,Hyundai Accent/Atos,Electrical,CMP sensor faulty or timing issue,Replace CMP sensor,check timing
P0420,Catalyst Efficiency Below Threshold,Hyundai Accent/Atos,Mechanical,Worn catalytic converter,Replace catalytic converter
P0442,EVAP Small Leak Detected,Hyundai Accent/Atos,Mechanical,Loose fuel cap or small hose leak,Tighten cap,smoke test EVAP
P0455,EVAP Large Leak Detected,Hyundai Accent/Atos,Mechanical,Missing fuel cap or large EVAP leak,Replace cap,inspect EVAP hoses
P0500,Vehicle Speed Sensor,Hyundai Accent/Atos,Electrical,VSS sensor faulty or wiring issue,Replace VSS sensor,check wiring
P0562,System Voltage Low,Hyundai Accent/Atos,Electrical,Weak battery or alternator problem,Test battery voltage,alternator output
P0563,System Voltage High,Hyundai Accent/Atos,Electrical,Faulty voltage regulator,Replace alternator or regulator
P0010,A Camshaft Actuator Circuit,Toyota All Models,Electrical,VVT solenoid wiring or connector,Check VVT solenoid connector
P0011,A Camshaft Timing Over-Advanced,Toyota All Models,Mechanical,VVT solenoid stuck or oil flow issue,Clean VVT solenoid,check oil
P0012,A Camshaft Timing Over-Retarded,Toyota All Models,Mechanical,VVT solenoid or oil pressure issue,Check oil pressure,VVT solenoid
P0013,B Camshaft Actuator Circuit,Toyota All Models,Electrical,VVT solenoid B wiring issue,Check VVT solenoid B wiring
P0014,B Camshaft Timing Over-Advanced,Toyota All Models,Mechanical,VVT solenoid B stuck,Clean or replace VVT solenoid B
P0015,B Camshaft Timing Over-Retarded,Toyota All Models,Mechanical,VVT solenoid B or oil issue,Check oil flow to VVT system
P0030,HO2S Heater Control B1S1,Toyota All Models,Electrical,O2 sensor heater circuit fault,Replace upstream O2 sensor
P0031,HO2S Heater Control Low B1S1,Toyota All Models,Electrical,O2 heater wiring short to ground,Check O2 sensor heater wiring
P0032,HO2S Heater Control High B1S1,Toyota All Models,Electrical,O2 heater wiring short to battery,Check O2 sensor heater wiring
P0036,HO2S Heater Control B1S2,Toyota All Models,Electrical,Downstream O2 heater circuit fault,Replace downstream O2 sensor
P0037,HO2S Heater Control Low B1S2,Toyota All Models,Electrical,Downstream O2 heater wiring issue,Check downstream O2 wiring
P0038,HO2S Heater Control High B1S2,Toyota All Models,Electrical,Downstream O2 heater wiring issue,Check downstream O2 wiring
P0045,Turbo Boost Control Solenoid,Toyota Hilux/Land Cruiser,Electrical,Boost solenoid wiring or connector,Check turbo boost solenoid
P0046,Turbo Boost Control Performance,Toyota Hilux/Land Cruiser,Mechanical,Boost solenoid stuck or vacuum leak,Test boost solenoid operation
P0047,Turbo Boost Control Low,Toyota Hilux/Land Cruiser,Electrical,Boost solenoid circuit low,Check boost solenoid wiring
P0048,Turbo Boost Control High,Toyota Hilux/Land Cruiser,Electrical,Boost solenoid circuit high,Check boost solenoid wiring
P0087,Fuel Rail Pressure Too Low,Toyota Diesel Models,Mechanical,Weak fuel pump or clogged filter,Replace fuel filter,test pump pressure
P0088,Fuel Rail Pressure Too High,Toyota Diesel Models,Mechanical,Faulty pressure regulator,Replace fuel pressure regulator
P0101,MAF Sensor Range/Performance,Toyota All Models,Electrical,Dirty MAF or vacuum leak,Clean MAF sensor,check intake for leaksP0102,MAF Circuit Low Input,Toyota All Models,Electrical,MAF wiring damaged,Check MAF connector and harness
P0103,MAF Circuit High Input,Toyota All Models,Electrical,MAF sensor faulty,Replace MAF sensor
P0117,ECT Sensor Circuit Low,Toyota All Models,Electrical,ECT sensor shorted,Replace ECT sensor
P0118,ECT Sensor Circuit High,Toyota All Models,Electrical,ECT sensor open circuit,Replace ECT sensor
P0122,TPS Circuit Low Input,Toyota All Models,Electrical,TPS wiring short,Check TPS wiring and connector
P0123,TPS Circuit High Input,Toyota All Models,Electrical,TPS wiring open,Replace TPS sensor
P0131,O2 Sensor Low Voltage B1S1,Toyota All Models,Electrical,Fuel lean or O2 sensor faulty,Check for vacuum leaks,test O2
P0132,O2 Sensor High Voltage B1S1,Toyota All Models,Electrical,Fuel rich or O2 sensor faulty,Check fuel pressure,O2 sensor
P0133,O2 Sensor Slow Response B1S1,Toyota All Models,Electrical,Aged O2 sensor,Replace upstream O2 sensor
P0171,System Too Lean Bank 1,Toyota All Models,Mechanical,Vacuum leak or weak fuel pump,Smoke test,check fuel pressure
P0172,System Too Rich Bank 1,Toyota All Models,Mechanical,Clogged air filter or faulty MAF,Replace filter,clean MAF
