code,description,car_type,category,common_cause,fix_tip
P0001,Fuel Volume Regulator Control Circuit/Open,Hyundai Accent/Atos,Electrical,Fuel volume regulator wiring fault,Check fuel volume regulator wiring and connector
P0002,Fuel Volume Regulator Control Circuit Range/Performance,Hyundai Accent/Atos,Electrical,Fuel volume regulator out of range,Test fuel volume regulator operation
P0003,Fuel Volume Regulator Control Circuit Low,Hyundai Accent/Atos,Electrical,Fuel volume regulator circuit short to ground,Check fuel volume regulator wiring for shorts
P0004,Fuel Volume Regulator Control Circuit High,Hyundai Accent/Atos,Electrical,Fuel volume regulator circuit short to battery,Check fuel volume regulator wiring harness
P0005,Fuel Shutoff Valve A Control Circuit/Open,Hyundai Diesel Models,Electrical,Fuel shutoff valve wiring fault,Check fuel shutoff valve wiring
P0006,Fuel Shutoff Valve A Control Circuit Low,Hyundai Diesel Models,Electrical,Fuel shutoff valve circuit short,Check fuel shutoff valve wiring for shorts
P0007,Fuel Shutoff Valve A Control Circuit High,Hyundai Diesel Models,Electrical,Fuel shutoff valve circuit open,Check fuel shutoff valve wiring harness
P0008,Engine Position System Performance Bank 1,Toyota All Models,Mechanical,Timing chain stretched or VVT fault,Inspect timing chain tension and VVT system
P0009,Engine Position System Performance Bank 2,Toyota V6/V8 Models,Mechanical,Bank 2 timing chain or VVT issue,Inspect bank 2 timing components
P0010,A Camshaft Position Actuator Circuit Bank 1,Toyota All Models,Electrical,VVT solenoid wiring or connector fault,Check VVT solenoid connector and wiring
P0011,A Camshaft Position Timing Over-Advanced Bank 1,Toyota All Models,Mechanical,VVT solenoid stuck or low oil pressure,Clean VVT solenoid screen,check oil level
P0012,A Camshaft Position Timing Over-Retarded Bank 1,Toyota All Models,Mechanical,VVT solenoid clogged or timing issue,Clean VVT system,verify timing marks
P0013,B Camshaft Position Actuator Circuit Bank 1,Toyota All Models,Electrical,VVT solenoid B wiring fault,Check VVT solenoid B connector
P0014,B Camshaft Position Timing Over-Advanced Bank 1,Toyota All Models,Mechanical,VVT solenoid B stuck or oil issue,Clean or replace VVT solenoid B
P0015,B Camshaft Position Timing Over-Retarded Bank 1,Toyota All Models,Mechanical,VVT oil control valve fault,Check oil passages to VVT system
P0016,Crankshaft/Camshaft Correlation Bank 1 Sensor A,Toyota All Models,Mechanical,Timing jumped or sensor misaligned,Verify timing marks,check sensor alignment
P0017,Crankshaft/Camshaft Correlation Bank 1 Sensor B,Toyota All Models,Mechanical,Exhaust VVT timing or sensor fault,Check exhaust VVT and CMP sensor
P0018,Crankshaft/Camshaft Correlation Bank 2 Sensor A,Toyota V6/V8 Models,Mechanical,Bank 2 timing chain issue,Inspect bank 2 timing components
P0019,Crankshaft/Camshaft Correlation Bank 2 Sensor B,Toyota V6/V8 Models,Mechanical,Bank 2 exhaust VVT fault,Check bank 2 exhaust VVT system
P0020,A Camshaft Actuator Circuit Bank 2,Toyota V6/V8 Models,Electrical,VVT solenoid bank 2 wiring fault,Check bank 2 VVT solenoid wiring
P0021,A Camshaft Timing Over-Advanced Bank 2,Toyota V6/V8 Models,Mechanical,VVT bank 2 solenoid stuck,Clean bank 2 VVT solenoid
P0022,A Camshaft Timing Over-Retarded Bank 2,Toyota V6/V8 Models,Mechanical,VVT bank 2 oil control issue,Check oil pressure to bank 2 VVT
P0023,B Camshaft Actuator Circuit Bank 2,Toyota V6/V8 Models,Electrical,VVT solenoid B bank 2 wiring,Check VVT solenoid B bank 2 wiring
P0024,B Camshaft Timing Over-Advanced Bank 2,Toyota V6/V8 Models,Mechanical,VVT B bank 2 solenoid stuck,Clean VVT solenoid B bank 2
P0025,B Camshaft Timing Over-Retarded Bank 2,Toyota V6/V8 Models,Mechanical,VVT B bank 2 oil issue,Check oil flow to VVT B bank 2
P0026,Intake Valve Control Solenoid Circuit Bank 1,Toyota VVT-iE Models,Electrical,Intake VVT solenoid wiring fault,Check intake VVT solenoid wiring
P0027,Exhaust Valve Control Solenoid Circuit Bank 1,Toyota VVT-iE Models,Electrical,Exhaust VVT solenoid wiring fault,Check exhaust VVT solenoid wiring
P0028,Intake Valve Control Solenoid Circuit Bank 2,Toyota VVT-iE V6 Models,Electrical,Intake VVT bank 2 wiring fault,Check intake VVT bank 2 wiring
P0029,Exhaust Valve Control Solenoid Circuit Bank 2,Toyota VVT-iE V6 Models,Electrical,Exhaust VVT bank 2 wiring fault,Check exhaust VVT bank 2 wiring
P0030,HO2S Heater Control Circuit Bank 1 Sensor 1,Toyota All Models,Electrical,Upstream O2 sensor heater fault,Replace upstream oxygen sensor
P0031,HO2S Heater Control Circuit Low Bank 1 Sensor 1,Toyota All Models,Electrical,O2 heater wiring short to ground,Check O2 sensor heater wiring
P0032,HO2S Heater Control Circuit High Bank 1 Sensor 1,Toyota All Models,Electrical,O2 heater wiring short to battery,Check O2 sensor heater wiring
P0033,Turbocharger Bypass Valve Control Circuit,Toyota Turbo Models,Electrical,Turbo bypass solenoid wiring fault,Check turbo bypass valve wiring
P0034,Turbocharger Bypass Valve Control Circuit Low,Toyota Turbo Models,Electrical,Bypass solenoid circuit short,Check bypass valve wiring
P0035,Turbocharger Bypass Valve Control Circuit High,Toyota Turbo Models,Electrical,Bypass solenoid circuit open,Check bypass valve wiring
P0036,HO2S Heater Control Circuit Bank 1 Sensor 2,Toyota All Models,Electrical,Downstream O2 sensor heater fault,Replace downstream oxygen sensor
P0037,HO2S Heater Control Circuit Low Bank 1 Sensor 2,Toyota All Models,Electrical,Downstream O2 heater wiring short,Check downstream O2 wiring
P0038,HO2S Heater Control Circuit High Bank 1 Sensor 2,Toyota All Models,Electrical,Downstream O2 heater wiring open,Check downstream O2 wiring
P0045,Turbo Boost Control Solenoid Circuit,Toyota Hilux/Land Cruiser,Electrical,Boost solenoid wiring fault,Check turbo boost solenoid
P0046,Turbo Boost Control Solenoid Performance,Toyota Hilux/Land Cruiser,Mechanical,Boost solenoid stuck or vacuum leak,Test boost solenoid operation
P0047,Turbo Boost Control Solenoid Circuit Low,Toyota Hilux/Land Cruiser,Electrical,Boost solenoid circuit short,Check boost solenoid wiring
P0048,Turbo Boost Control Solenoid Circuit High,Toyota Hilux/Land Cruiser,Electrical,Boost solenoid circuit open,Check boost solenoid wiring
P0050,HO2S Heater Control Circuit Bank 2 Sensor 1,Toyota V6/V8 Models,Electrical,Bank 2 upstream O2 heater fault,Replace bank 2 upstream O2 sensor
P0051,HO2S Heater Control Circuit Low Bank 2 Sensor 1,Toyota V6/V8 Models,Electrical,Bank 2 O2 heater wiring short,Check bank 2 O2 wiring
P0052,HO2S Heater Control Circuit High Bank 2 Sensor 1,Toyota V6/V8 Models,Electrical,Bank 2 O2 heater wiring open,Check bank 2 O2 wiring
P0053,HO2S Heater Resistance Bank 1 Sensor 1,Toyota All Models,Electrical,O2 sensor heater resistance fault,Replace upstream O2 sensor
P0054,HO2S Heater Resistance Bank 1 Sensor 2,Toyota All Models,Electrical,Downstream O2 heater resistance fault,Replace downstream O2 sensor
P0056,HO2S Heater Control Circuit Bank 2 Sensor 2,Toyota V6/V8 Models,Electrical,Bank 2 downstream O2 heater fault,Replace bank 2 downstream O2 sensor
P0057,HO2S Heater Control Circuit Low Bank 2 Sensor 2,Toyota V6/V8 Models,Electrical,Bank 2 downstream O2 wiring short,Check bank 2 downstream O2 wiringP0058,HO2S Heater Control Circuit High Bank 2 Sensor 2,Toyota V6/V8 Models,Electrical,Bank 2 downstream O2 wiring open,Check bank 2 downstream O2 wiring
P0068,MAP/MAF Throttle Position Correlation,Toyota All Models,Mechanical,Vacuum leak or throttle body dirty,Check for vacuum leaks,clean throttle body
P0069,Manifold Absolute Pressure Barometric Correlation,Toyota All Models,Electrical,MAP sensor fault or wiring issue,Test MAP sensor voltage
P0070,Ambient Air Temperature Sensor Circuit,Toyota All Models,Electrical,AAT sensor wiring fault,Check AAT sensor connector
P0071,Ambient Air Temperature Sensor Range/Performance,Toyota All Models,Electrical,AAT sensor out of range,Replace ambient air temperature sensor
P0072,Ambient Air Temperature Sensor Circuit Low,Toyota All Models,Electrical,AAT sensor wiring short,Check AAT sensor wiring
P0073,Ambient Air Temperature Sensor Circuit High,Toyota All Models,Electrical,AAT sensor wiring open,Check AAT sensor wiring
P0074,Ambient Air Temperature Sensor Intermittent,Toyota All Models,Electrical,AAT sensor loose connection,Secure AAT sensor connector
P0075,Intake Valve Control Solenoid Circuit Bank 1,Toyota VVT-i Models,Electrical,Intake VVT solenoid wiring fault,Check intake VVT solenoid wiring
P0076,Intake Valve Control Solenoid Circuit Low Bank 1,Toyota VVT-i Models,Electrical,Intake VVT solenoid short,Check intake VVT wiring
P0077,Intake Valve Control Solenoid Circuit High Bank 1,Toyota VVT-i Models,Electrical,Intake VVT solenoid open,Check intake VVT wiring
P0078,Exhaust Valve Control Solenoid Circuit Bank 1,Toyota VVT-iE Models,Electrical,Exhaust VVT solenoid wiring fault,Check exhaust VVT solenoid wiring
P0079,Exhaust Valve Control Solenoid Circuit Low Bank 1,Toyota VVT-iE Models,Electrical,Exhaust VVT solenoid short,Check exhaust VVT wiring
P0080,Exhaust Valve Control Solenoid Circuit High Bank 1,Toyota VVT-iE Models,Electrical,Exhaust VVT solenoid open,Check exhaust VVT wiring
P0087,Fuel Rail Pressure Too Low,Toyota Diesel/Hybrid,Mechanical,Weak fuel pump or clogged filter,Replace fuel filter,test fuel pump
P0088,Fuel Rail Pressure Too High,Toyota Diesel/Hybrid,Mechanical,Faulty fuel pressure regulator,Replace fuel pressure regulator
P0089,Fuel Pressure Regulator Performance,Toyota All Models,Mechanical,Regulator stuck or spring weak,Replace fuel pressure regulator
P0090,Fuel Pressure Regulator Control Circuit,Toyota All Models,Electrical,Regulator control wiring fault,Check regulator control wiring
P0091,Fuel Pressure Regulator Control Circuit Low,Toyota All Models,Electrical,Regulator control short,Check regulator control wiring
P0092,Fuel Pressure Regulator Control Circuit High,Toyota All Models,Electrical,Regulator control open,Check regulator control wiring
P0093,Fuel System Leak Detected Large Leak,Toyota All Models,Mechanical,Fuel line leak or injector seal leak,Inspect fuel lines and seals
P0094,Fuel System Leak Detected Small Leak,Toyota All Models,Mechanical,Small fuel vapor leak,Smoke test fuel system
P0095,Intake Air Temperature Sensor 2 Circuit,Toyota All Models,Electrical,IAT2 sensor wiring fault,Check IAT2 sensor connector
P0096,Intake Air Temperature Sensor 2 Range/Performance,Toyota All Models,Electrical,IAT2 sensor out of range,Replace IAT2 sensor
P0097,Intake Air Temperature Sensor 2 Circuit Low,Toyota All Models,Electrical,IAT2 wiring short,Check IAT2 wiring
P0098,Intake Air Temperature Sensor 2 Circuit High,Toyota All Models,Electrical,IAT2 wiring open,Check IAT2 wiring
P0099,Intake Air Temperature Sensor 2 Intermittent,Toyota All Models,Electrical,IAT2 loose connection,Secure IAT2 connector
P0100,Mass Air Flow Circuit Malfunction,Hyundai Accent/Atos,Electrical,MAF sensor dirty or wiring fault,Clean MAF,check wiring
P0101,Mass Air Flow Circuit Range/Performance,Hyundai Accent/Atos,Electrical,Dirty MAF or vacuum leak,Clean MAF,smoke test
P0102,Mass Air Flow Circuit Low Input,Hyundai Accent/Atos,Electrical,MAF wiring damaged,Check MAF connector
P0103,Mass Air Flow Circuit High Input,Hyundai Accent/Atos,Electrical,MAF sensor shorted,Test MAF voltage
P0105,Manifold Absolute Pressure Circuit,Hyundai Accent/Atos,Electrical,MAP sensor fault,Test MAP sensor voltage
P0106,Manifold Absolute Pressure Range/Performance,Hyundai Accent/Atos,Electrical,MAP sensor out of range,Check for vacuum leaks
P0107,Manifold Absolute Pressure Circuit Low,Hyundai Accent/Atos,Electrical,MAP wiring short,Check MAP wiring
P0108,Manifold Absolute Pressure Circuit High,Hyundai Accent/Atos,Electrical,MAP wiring open,Check MAP wiring
P0110,Intake Air Temperature Sensor Circuit,Hyundai Accent/Atos,Electrical,IAT sensor wiring fault,Check IAT connector
P0111,Intake Air Temperature Sensor Range/Performance,Hyundai Accent/Atos,Electrical,IAT sensor out of range,Replace IAT sensor
P0112,Intake Air Temperature Sensor Circuit Low,Hyundai Accent/Atos,Electrical,IAT wiring short,Check IAT wiring
P0113,Intake Air Temperature Sensor Circuit High,Hyundai Accent/Atos,Electrical,IAT wiring open,Check IAT wiring
P0115,Engine Coolant Temperature Circuit,Hyundai Accent/Atos,Electrical,ECT sensor fault,Test ECT resistance
P0116,Engine Coolant Temperature Range/Performance,Hyundai Accent/Atos,Mechanical,Thermostat stuck or ECT drift,Replace thermostat
P0117,Engine Coolant Temperature Circuit Low,Hyundai Accent/Atos,Electrical,ECT sensor shorted,Replace ECT sensor
P0118,Engine Coolant Temperature Circuit High,Hyundai Accent/Atos,Electrical,ECT sensor open,Replace ECT sensor
P0120,Throttle Position Sensor Circuit,Hyundai Accent/Atos,Electrical,TPS sensor fault,Test TPS voltage
P0121,Throttle Position Sensor Range/Performance,Hyundai Accent/Atos,Electrical,TPS out of range,Clean throttle body
P0122,Throttle Position Sensor Circuit Low,Hyundai Accent/Atos,Electrical,TPS wiring short,Check TPS wiring
P0123,Throttle Position Sensor Circuit High,Hyundai Accent/Atos,Electrical,TPS wiring open,Replace TPS sensor
P0125,Insufficient Coolant For Closed Loop,Hyundai Accent/Atos,Mechanical,Thermostat stuck open,Replace thermostat
P0130,O2 Sensor Circuit Malfunction B1S1,Hyundai Accent/Atos,Electrical,Upstream O2 sensor faulty,Replace upstream O2 sensor
P0131,O2 Sensor Circuit Low Voltage B1S1,Hyundai Accent/Atos,Electrical,Fuel lean or O2 faulty,Check vacuum leaksP0132,O2 Sensor Circuit High Voltage B1S1,Hyundai Accent/Atos,Electrical,Fuel rich or O2 faulty,Check fuel pressure
P0133,O2 Sensor Circuit Slow Response B1S1,Hyundai Accent/Atos,Electrical,Aged O2 sensor,Replace upstream O2 sensor
P0134,O2 Sensor Circuit No Activity B1S1,Hyundai Accent/Atos,Electrical,O2 heater or wiring fault,Check O2 heater circuit
P0135,O2 Sensor Heater Circuit B1S1,Hyundai Accent/Atos,Electrical,O2 heater circuit fault,Replace upstream O2 sensor
P0136,O2 Sensor Circuit Malfunction B1S2,Hyundai Accent/Atos,Electrical,Downstream O2 sensor faulty,Replace downstream O2 sensor
P0137,O2 Sensor Circuit Low Voltage B1S2,Hyundai Accent/Atos,Electrical,Catalyst issue or O2 fault,Check catalytic converter
P0138,O2 Sensor Circuit High Voltage B1S2,Hyundai Accent/Atos,Electrical,Fuel rich or O2 fault,Check fuel trim
P0140,O2 Sensor Circuit No Activity B1S2,Hyundai Accent/Atos,Electrical,Downstream O2 heater fault,Check downstream O2 heater
P0141,O2 Sensor Heater Circuit B1S2,Hyundai Accent/Atos,Electrical,Downstream O2 heater fault,Replace downstream O2 sensor
P0150,O2 Sensor Circuit Malfunction B2S1,Hyundai V6 Models,Electrical,Bank 2 upstream O2 faulty,Replace bank 2 upstream O2
P0151,O2 Sensor Circuit Low Voltage B2S1,Hyundai V6 Models,Electrical,Bank 2 fuel lean,Check bank 2 vacuum leaks
P0152,O2 Sensor Circuit High Voltage B2S1,Hyundai V6 Models,Electrical,Bank 2 fuel rich,Check bank 2 fuel delivery
P0153,O2 Sensor Circuit Slow Response B2S1,Hyundai V6 Models,Electrical,Bank 2 aged O2 sensor,Replace bank 2 upstream O2
P0154,O2 Sensor Circuit No Activity B2S1,Hyundai V6 Models,Electrical,Bank 2 O2 heater fault,Check bank 2 O2 heater
P0155,O2 Sensor Heater Circuit B2S1,Hyundai V6 Models,Electrical,Bank 2 O2 heater fault,Replace bank 2 upstream O2
P0160,O2 Sensor Circuit No Activity B2S2,Hyundai V6 Models,Electrical,Bank 2 downstream O2 fault,Check bank 2 downstream O2
P0170,Fuel Trim Malfunction Bank 1,Hyundai Accent/Atos,Mechanical,Vacuum leak or fuel issue,Smoke test,check fuel
P0171,System Too Lean Bank 1,Hyundai Accent/Atos,Mechanical,Vacuum leak or weak pump,Smoke test intake
P0172,System Too Rich Bank 1,Hyundai Accent/Atos,Mechanical,Clogged filter or faulty MAF,Replace filter,clean MAF
P0173,Fuel Trim Malfunction Bank 2,Hyundai V6 Models,Mechanical,Bank 2 vacuum leak,Check bank 2 intake
P0174,System Too Lean Bank 2,Hyundai V6 Models,Mechanical,Bank 2 vacuum leak,Smoke test bank 2
P0175,System Too Rich Bank 2,Hyundai V6 Models,Mechanical,Bank 2 MAF or injector issue,Check bank 2 MAF
P0180,Fuel Temperature Sensor Circuit,Hyundai Accent/Atos,Electrical,Fuel temp sensor wiring,Check fuel temp sensor
